INFO 2025-03-07 22:43:35,458 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16685
INFO 2025-03-07 22:43:35,499 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:36,683 basehttp "GET /admin/admin_dashboard/viewaccess/5/change/ HTTP/1.1" 200 16262
INFO 2025-03-07 22:43:36,726 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:39,206 basehttp "POST /admin/admin_dashboard/viewaccess/5/change/ HTTP/1.1" 302 0
INFO 2025-03-07 22:43:39,231 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16685
INFO 2025-03-07 22:43:39,264 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:40,162 basehttp "GET /admin/admin_dashboard/viewaccess/1/change/ HTTP/1.1" 200 16228
INFO 2025-03-07 22:43:40,206 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:51,585 basehttp "POST /admin/admin_dashboard/viewaccess/1/change/ HTTP/1.1" 302 0
INFO 2025-03-07 22:43:51,606 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16672
INFO 2025-03-07 22:43:51,637 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:53,482 basehttp "GET /admin/admin_dashboard/viewaccess/3/change/ HTTP/1.1" 200 16278
INFO 2025-03-07 22:43:53,534 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:57,174 basehttp "POST /admin/admin_dashboard/viewaccess/3/change/ HTTP/1.1" 302 0
INFO 2025-03-07 22:43:57,215 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16689
INFO 2025-03-07 22:43:57,247 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:58,315 basehttp "GET /admin/admin_dashboard/viewaccess/4/change/ HTTP/1.1" 200 16262
